Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage
Short Sell,2024-04-18 12:30:00-04:00,181.1999969482422,551,-122.21800231933594,99841.19831848145,158.93685913085938,Sell Hold,99877.91717529295,12,17,-0.12226273052445122,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-18 13:30:00-04:00,180.9600067138672,551,-132.234619140625,99708.96369934082,168.95347595214844,Sell Hold,99745.68255615234,12,17,-0.13244494393868594,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-18 14:30:00-04:00,181.47000122070312,549,-81.93302917480469,99627.03067016602,118.65188598632812,Sell Hold,99663.74952697754,12,17,-0.08217218004778677,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-18 15:30:00-04:00,181.22999572753903,549,-131.7630157470703,99495.26765441896,168.48187255859375,Sell Hold,99531.98651123048,12,17,-0.13225629114982052,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-19 09:30:00-04:00,182.73849487304688,544,-85.52644348144531,99409.7412109375,122.24530029296876,Sell Hold,99446.46006774902,12,17,-0.08596031298546018,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-19 10:30:00-04:00,183.08999633789065,543,8.126800537109375,99417.8680114746,28.592056274414062,Sell Hold,99454.58686828612,12,17,0.00817505451487955,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-19 11:30:00-04:00,183.1649932861328,542,-142.441650390625,99275.42636108398,179.16050720214844,Sell Hold,99312.14521789552,12,17,-0.1432757040959379,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-19 12:30:00-04:00,184.38999938964844,538,-73.606689453125,99201.81967163086,110.32554626464844,Sell Hold,99238.53852844238,12,17,-0.07414391672860027,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-19 13:30:00-04:00,184.55999755859372,537,-93.10098266601562,99108.71868896484,129.81983947753906,Sell Hold,99145.43754577637,12,17,-0.09385007550687105,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-19 14:30:00-04:00,184.8800048828125,536,-13.03607177734375,99095.6826171875,49.75492858886719,Sell Hold,99132.40147399902,12,17,-0.013153304724133454,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-19 15:30:00-04:00,185.8000030517578,533,-64.28099060058594,99031.40162658691,100.99984741210938,Sell Hold,99068.12048339844,12,17,-0.06486759957939563,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-22 09:30:00-04:00,187.66000366210935,527,-134.57969665527344,98896.82192993164,171.29855346679688,Sell Hold,98933.54078674316,12,17,-0.1358959829355206,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-22 10:30:00-04:00,186.8350067138672,529,-61.10337829589844,98835.71855163574,97.82223510742188,Sell Hold,98872.43740844728,12,17,-0.06178497660843961,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-22 11:30:00-04:00,187.91000366210935,526,4.943374633789063,98840.66192626952,31.77548217773437,Sell Hold,98877.38078308104,12,17,0.005001607421098369,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-22 12:30:00-04:00,188.9900054931641,523,1.1109466552734375,98841.7728729248,35.60791015625,Sell Hold,98878.49172973631,12,17,0.0011239773526776897,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-22 13:30:00-04:00,190.0800018310547,520,-0.1719207763671875,98841.60095214844,36.89077758789063,Sell Hold,98878.31980895996,12,17,-0.00017393534268979186,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-22 14:30:00-04:00,189.3300018310547,522,-11.339996337890623,98830.26095581056,48.05885314941406,Sell Hold,98866.97981262208,12,17,-0.011472898282339675,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-22 15:30:00-04:00,189.5,521,-100.76095581054688,98729.5,137.4798126220703,Sell Hold,98766.21885681152,12,17,-0.10195354624795955,0.4159112860771303,0.9628107010875327
Short Sell,2024-04-23 09:30:00-04:00,191.1499938964844,516,-96.1031494140625,98633.39685058594,132.82200622558594,Sell Hold,98670.11570739746,12,17,-0.09733985223673015,0.4159112860771303,0.9628107010875327
