Signal,Start Close Price,Start Date,End Close Price,End Date,Start Investment,End Investment,Profit/Loss,Highest Investment,Lowest Investment,Highest Percentage,Lowest Percentage
Buy - Sell,1447.0999755859375,2023-07-20 13:15:00+05:30,1339.949951171875,2023-07-25 11:15:00+05:30,75249.19873046875,69677.3974609375,-5571.80126953125,75400.0,68928.6025390625,0.20040249208685576,0.0
Short Sell - Buy,1538.800048828125,2023-01-17 15:15:00+05:30,1344.6500244140625,2023-07-26 10:15:00+05:30,101560.80322265624,68464.94750976562,33095.85571289061,103125.0,68464.94750976562,0.0,32.58723312805345
Buy - Sell,1344.6500244140625,2023-07-26 10:15:00+05:30,1345.699951171875,2023-07-26 11:15:00+05:30,68577.15124511719,68630.69750976562,53.5462646484375,68577.15124511719,68577.15124511719,0.0,0.0
Short Sell - Buy,1546.6500244140625,2023-01-18 09:15:00+05:30,1341.5,2023-07-28 14:15:00+05:30,102078.90161132812,65709.0,36369.901611328125,103125.0,65581.60119628906,0.0,35.754009730634486
Buy - Sell,1341.5,2023-07-28 14:15:00+05:30,1363.5,2023-08-01 09:15:00+05:30,65733.5,66811.5,1078.0,66407.25,65684.5,1.0249720462169214,0.0
Short Sell - Buy,1548.0,2023-01-18 10:15:00+05:30,1363.449951171875,2023-08-03 10:15:00+05:30,102168.0,67957.50122070312,34210.498779296875,103125.0,65383.201171875,0.0,36.004227182801856
Buy - Sell,1363.449951171875,2023-08-03 10:15:00+05:30,1369.3499755859375,2023-08-04 10:15:00+05:30,68172.49755859375,68467.49877929688,295.001220703125,69084.99755859375,67590.00244140625,1.3385163118245935,0.0
Short Sell - Buy,1548.050048828125,2023-01-18 11:15:00+05:30,1391.550048828125,2023-08-10 09:15:00+05:30,102171.30322265624,69654.99877929688,32516.30444335936,103125.0,65383.201171875,0.0,36.0062961814346
Buy - Sell,1391.550048828125,2023-08-10 09:15:00+05:30,1391.699951171875,2023-08-10 10:15:00+05:30,69577.50244140625,69584.99755859375,7.4951171875,69577.50244140625,69577.50244140625,0.0,0.0
Short Sell - Buy,1547.199951171875,2023-01-18 12:15:00+05:30,1371.0,2023-08-11 11:15:00+05:30,102115.19677734376,68922.49755859375,33192.699218750015,103125.0,65383.201171875,0.0,35.971135310604886
Buy - Sell,1371.0,2023-08-11 11:15:00+05:30,1410.8499755859375,2023-08-16 09:15:00+05:30,68550.0,70542.49877929688,1992.498779296875,69702.50244140625,68502.50244140625,1.681258120213348,0.0
Short Sell - Buy,1549.4000244140625,2023-01-18 13:15:00+05:30,1393.5,2023-08-18 11:15:00+05:30,102260.40161132812,69522.49755859375,32737.904052734375,103125.0,65383.201171875,0.0,36.06205320766897
Buy - Sell,1393.5,2023-08-18 11:15:00+05:30,1399.5999755859375,2023-08-22 10:15:00+05:30,69675.0,69979.99877929688,304.998779296875,70347.49755859375,69350.0,0.9651920467796914,0.0
Short Sell - Buy,1545.050048828125,2023-01-18 14:15:00+05:30,1419.0,2023-08-28 11:15:00+05:30,101973.30322265624,70952.50244140625,31020.800781249985,103125.0,65383.201171875,0.0,35.88204058751302
Buy - Sell,1419.0,2023-08-28 11:15:00+05:30,1420.800048828125,2023-08-29 10:15:00+05:30,70950.0,71040.00244140625,90.00244140625,71015.00244140625,70759.99755859375,0.09161725356765328,0.0
Short Sell - Buy,1544.75,2023-01-18 15:15:00+05:30,1437.800048828125,2023-09-04 09:15:00+05:30,101953.5,72100.0,29853.5,103125.0,65383.201171875,0.0,35.86958645669349
Buy - Sell,1437.800048828125,2023-09-04 09:15:00+05:30,1454.449951171875,2023-09-04 12:15:00+05:30,71890.00244140625,72722.49755859375,832.4951171875,72745.00122070312,71890.00244140625,1.1893152736971173,0.0
Short Sell - Buy,1529.800048828125,2023-01-19 09:15:00+05:30,1469.5,2023-09-07 10:15:00+05:30,102496.60327148438,73490.00244140625,29006.600830078125,103125.0,65383.201171875,0.0,36.209397106854865
Buy - Sell,1469.5,2023-09-07 10:15:00+05:30,1470.75,2023-09-08 11:15:00+05:30,73475.0,73537.5,62.5,73534.99755859375,73159.99755859375,0.08165710594589996,0.0
Short Sell - Buy,1546.0999755859375,2023-01-19 10:15:00+05:30,1468.75,2023-09-08 12:15:00+05:30,102042.59838867188,73537.5,28505.098388671875,103125.0,65383.201171875,0.0,35.925581860591436
Buy - Sell,1468.75,2023-09-08 12:15:00+05:30,1475.050048828125,2023-09-11 11:15:00+05:30,73437.5,73752.50244140625,315.00244140625,73770.00122070312,73437.5,0.4527676196808511,0.0
Short Sell - Buy,1545.050048828125,2023-01-19 11:15:00+05:30,1490.5999755859375,2023-09-18 13:15:00+05:30,101973.30322265624,74725.0,27248.303222656235,103125.0,65383.201171875,0.0,35.88204058751302
Buy - Sell,1490.5999755859375,2023-09-18 13:15:00+05:30,1501.8499755859375,2023-09-21 14:15:00+05:30,74529.99877929688,75092.49877929688,562.5,75075.0,73870.00122070312,0.7312508112565765,0.0
Short Sell - Buy,1545.75,2023-01-19 12:15:00+05:30,1481.9000244140625,2023-09-25 12:15:00+05:30,102019.5,75329.55249023438,26689.947509765625,103125.0,65383.201171875,0.0,35.911074675062125
Buy - Sell,1481.9000244140625,2023-09-25 12:15:00+05:30,1449.949951171875,2023-10-04 15:15:00+05:30,75576.90124511719,73947.44750976562,-1629.4537353515625,75576.90124511719,72583.19750976562,0.0,0.0
Short Sell - Buy,1544.199951171875,2023-01-19 13:15:00+05:30,1477.4000244140625,2023-10-12 13:15:00+05:30,101917.19677734376,69581.14770507812,32336.04907226564,103125.0,65383.201171875,0.0,35.84674300381688
Buy - Sell,1477.4000244140625,2023-10-12 13:15:00+05:30,1443.9000244140625,2023-10-17 10:15:00+05:30,69437.80114746094,67863.30114746094,-1574.5,69437.80114746094,66897.44885253906,0.0,0.0
Short Sell - Buy,1539.0,2023-01-19 14:15:00+05:30,1436.550048828125,2023-10-19 11:15:00+05:30,101574.0,65892.69775390625,35681.30224609375,103125.0,65383.201171875,0.0,35.62998289732116
Buy - Sell,1436.550048828125,2023-10-19 11:15:00+05:30,1380.050048828125,2023-10-27 14:15:00+05:30,66081.30224609375,63482.30224609375,-2599.0,66099.69775390625,62525.5,0.02783768961451938,0.0
Short Sell - Buy,1536.5,2023-01-19 15:15:00+05:30,1364.5,2023-10-31 10:15:00+05:30,101409.0,62882.0,38527.0,103125.0,62525.5,0.0,38.343243696318865
Buy - Sell,1364.5,2023-10-31 10:15:00+05:30,1385.449951171875,2023-11-03 10:15:00+05:30,62767.0,63730.69775390625,963.69775390625,63631.80224609375,62284.0,1.3777976422224258,0.0
Short Sell - Buy,1561.5,2023-01-24 09:15:00+05:30,1390.5,2023-11-08 15:15:00+05:30,103059.0,61248.0,41811.0,103125.0,61182.0,0.0,40.63400576368876
Buy - Sell,1390.5,2023-11-08 15:15:00+05:30,1373.550048828125,2023-11-13 15:15:00+05:30,61182.0,60436.2021484375,-745.7978515625,61182.0,59943.39892578125,0.0,0.0
Short Sell - Buy,1562.5,2023-01-24 10:15:00+05:30,1438.0,2023-11-20 12:15:00+05:30,103125.0,54670.59814453125,48454.40185546875,102999.59838867188,54569.90185546875,0.0,47.08373153409091
Buy - Sell,1438.0,2023-11-20 12:15:00+05:30,1440.0,2023-11-21 15:15:00+05:30,54644.0,54720.0,76.0,54834.0,54539.5,0.34770514603616137,0.0
Short Sell - Buy,1560.5999755859375,2023-01-24 11:15:00+05:30,1437.3499755859375,2023-11-24 13:15:00+05:30,102999.59838867188,53250.398193359375,49749.2001953125,102396.796875,53181.94909667969,0.0,48.36683838708175
Buy - Sell,1437.3499755859375,2023-11-24 13:15:00+05:30,1457.4000244140625,2023-11-29 11:15:00+05:30,53181.94909667969,53923.80090332031,741.851806640625,53994.10180664063,52882.25,1.52712099453995,0.0
Short Sell - Buy,1563.3499755859375,2023-01-24 12:15:00+05:30,1450.3499755859375,2023-12-01 11:15:00+05:30,101617.74841308594,50732.5,50885.24841308594,102396.796875,50732.5,0.0,50.07515833379077
Buy - Sell,1450.3499755859375,2023-12-01 11:15:00+05:30,1462.5,2023-12-04 13:15:00+05:30,50762.24914550781,51187.5,425.2508544921875,51332.75085449219,50750.0,1.123870038439503,0.0
Short Sell - Buy,1555.5999755859375,2023-01-24 13:15:00+05:30,1453.949951171875,2023-12-05 15:15:00+05:30,101113.99841308594,52378.1982421875,48735.80017089844,102396.796875,49725.0,0.0,50.822832861523246
