Signal,Date,Close Price,Shares Bought,Profit/Loss,Investment,Remaining Cash,Hold,Total Cash,SMA1,SMA2,Percentage Difference,Highest Average Percentage,Lowest Average Percentage,Charge,Charge Value,% Diff,High Avg %,Low Avg %
Short Sell,2024-06-13 10:30:00-04:00,650.5599976,153,-223.2062378,99535.67963,281.1130981,Sell Hold,99593.58649,12,17,-0.22374572,0.498866494,3.49226357,,,-0.22374572,0.498866494,3.49226357
Short Sell,2024-06-13 11:30:00-04:00,647.6400146,153,-446.7573853,99088.92224,504.6642456,Sell Hold,99146.8291,12,17,-0.448841448,0.498866494,3.49226357,,,-0.448841448,0.498866494,3.49226357
Short Sell,2024-06-13 12:30:00-04:00,652.2694702,152,56.03723145,99144.95947,1.869628906,Sell Hold,99202.86633,12,17,0.056552468,0.498866494,3.49226357,,,0.056552468,0.498866494,3.49226357
Short Sell,2024-06-13 13:30:00-04:00,654.2199707,151,-357.7438965,98787.21558,415.6507568,Sell Hold,98845.12244,12,17,-0.360829132,0.498866494,3.49226357,,,-0.360829132,0.498866494,3.49226357
Short Sell,2024-06-13 14:30:00-04:00,653.5999756,151,-93.6192627,98693.59631,151.526123,Sell Hold,98751.50317,12,17,-0.094768602,0.498866494,3.49226357,,,-0.094768602,0.498866494,3.49226357
Short Sell,2024-06-13 15:30:00-04:00,653.0900269,151,-77.0022583,98616.59406,134.9091187,Sell Hold,98674.50092,12,17,-0.078021535,0.498866494,3.49226357,,,-0.078021535,0.498866494,3.49226357
Short Sell,2024-06-14 09:30:00-04:00,671.4498901,146,-584.9100952,98031.68396,642.8169556,Sell Hold,98089.59082,12,17,-0.593115287,0.498866494,3.49226357,,,-0.593115287,0.498866494,3.49226357
Short Sell,2024-06-14 10:30:00-04:00,673.6400146,145,-353.8818359,97677.80212,411.7886963,Sell Hold,97735.70898,12,17,-0.360987205,0.498866494,3.49226357,,,-0.360987205,0.498866494,3.49226357
Short Sell,2024-06-14 11:30:00-04:00,670.210022,145,-497.348938,97180.45319,555.2557983,Sell Hold,97238.36005,12,17,-0.509172941,0.498866494,3.49226357,,,-0.509172941,0.498866494,3.49226357
Short Sell,2024-06-14 12:30:00-04:00,672.4458008,144,-348.2578735,96832.19531,406.1647339,Sell Hold,96890.10217,12,17,-0.35836206,0.498866494,3.49226357,,,-0.35836206,0.498866494,3.49226357
Short Sell,2024-06-14 13:30:00-04:00,673.1900024,143,-566.0249634,96266.17035,623.9318237,Sell Hold,96324.07721,12,17,-0.584542116,0.498866494,3.49226357,,,-0.584542116,0.498866494,3.49226357
Short Sell,2024-06-14 14:30:00-04:00,671.8900146,143,-185.8982544,96080.27209,243.8051147,Sell Hold,96138.17896,12,17,-0.193108601,0.498866494,3.49226357,,,-0.193108601,0.498866494,3.49226357
Short Sell,2024-06-14 15:30:00-04:00,669.6300049,143,-323.1813965,95757.0907,381.0882568,Sell Hold,95814.99756,12,17,-0.33636603,0.498866494,3.49226357,,,-0.33636603,0.498866494,3.49226357
Short Sell,2024-06-17 09:30:00-04:00,670.1400146,142,-597.2086182,95159.88208,655.1154785,Sell Hold,95217.78894,12,17,-0.623670387,0.498866494,3.49226357,,,-0.623670387,0.498866494,3.49226357
Short Sell,2024-06-17 10:30:00-04:00,676.3900146,140,-465.2800293,94694.60205,523.1868896,Sell Hold,94752.50891,12,17,-0.488945572,0.498866494,3.49226357,,,-0.488945572,0.498866494,3.49226357
Short Sell,2024-06-17 11:30:00-04:00,678.6199951,139,-366.4227295,94328.17932,424.3295898,Sell Hold,94386.08618,12,17,-0.386952077,0.498866494,3.49226357,,,-0.386952077,0.498866494,3.49226357
Short Sell,2024-06-17 12:30:00-04:00,676.5250244,139,-291.2009277,94036.97839,349.1077881,Sell Hold,94094.88525,12,17,-0.30871043,0.498866494,3.49226357,,,-0.30871043,0.498866494,3.49226357
Short Sell,2024-06-17 13:30:00-04:00,680.8900146,138,-74.15637207,93962.82202,132.0632324,Sell Hold,94020.72888,12,17,-0.078858736,0.498866494,3.49226357,,,-0.078858736,0.498866494,3.49226357
Short Sell,2024-06-17 14:30:00-04:00,682.289978,137,-489.0950317,93473.72699,547.0018921,Sell Hold,93531.63385,12,17,-0.520519735,0.498866494,3.49226357,,,-0.520519735,0.498866494,3.49226357
Short Sell,2024-06-17 15:30:00-04:00,675.6400146,138,-235.4049683,93238.32202,293.3118286,Sell Hold,93296.22888,12,17,-0.251840785,0.498866494,3.49226357,,,-0.251840785,0.498866494,3.49226357
Short Sell,2024-06-18 09:30:00-04:00,678.9450073,137,-222.8560181,93015.466,280.7628784,Sell Hold,93073.37286,12,17,-0.23901762,0.498866494,3.49226357,,,-0.23901762,0.498866494,3.49226357
Short Sell,2024-06-18 10:30:00-04:00,681.5750122,136,-321.2643433,92694.20166,379.1712036,Sell Hold,92752.10852,12,17,-0.345388092,0.498866494,3.49226357,,,-0.345388092,0.498866494,3.49226357
Short Sell,2024-06-18 11:30:00-04:00,681.5930176,136,2.448730469,92696.65039,55.45812988,Sell Hold,92754.55725,12,17,0.00264173,0.498866494,3.49226357,,,0.00264173,0.498866494,3.49226357
Short Sell,2024-06-18 12:30:00-04:00,685.4899902,135,-155.501709,92541.14868,213.4085693,Sell Hold,92599.05554,12,17,-0.16775332,0.498866494,3.49226357,,,-0.16775332,0.498866494,3.49226357
Short Sell,2024-06-18 13:30:00-04:00,685.5800171,135,12.15362549,92553.30231,45.75323486,Sell Hold,92611.20917,12,17,0.013133212,0.498866494,3.49226357,,,0.013133212,0.498866494,3.49226357
Short Sell,2024-06-18 14:30:00-04:00,685.2600098,135,-43.20098877,92510.10132,101.1078491,Sell Hold,92568.00818,12,17,-0.046676875,0.498866494,3.49226357,,,-0.046676875,0.498866494,3.49226357
Short Sell,2024-06-18 15:30:00-04:00,686.0599976,134,-578.0616455,91932.03967,635.9685059,Sell Hold,91989.94653,12,17,-0.624863271,0.498866494,3.49226357,,,-0.624863271,0.498866494,3.49226357
Short Sell,2024-06-20 09:30:00-04:00,681.2949829,135,42.78302002,91974.82269,15.12384033,Sell Hold,92032.72955,12,17,0.04653766,0.498866494,3.49226357,,,0.04653766,0.498866494,3.49226357
Short Sell,2024-06-20 10:30:00-04:00,681.2199707,135,-10.12664795,91964.69604,68.0335083,Sell Hold,92022.60291,12,17,-0.011010239,0.498866494,3.49226357,,,-0.011010239,0.498866494,3.49226357
Short Sell,2024-06-20 11:30:00-04:00,679.7600098,135,-197.0947266,91767.60132,255.0015869,Sell Hold,91825.50818,12,17,-0.21431564,0.498866494,3.49226357,,,-0.21431564,0.498866494,3.49226357
